organ,seq_id,target_name,target_full_name,gene_symbol,entrez_gene_id,hgnc_id,selected_models,model_count,mean_nonzero_coefficient,coefficient_direction,model_family,source_commit
Immune,3374-49,HCK,Tyrosine-protein kinase HCK,HCK,3055,HGNC:4840,64,500,-0.05222274943511431,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,12774-12,HCN1,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,HCN1,348980,HGNC:4845,234,500,-0.16471642926536895,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,12669-30,HECW1,E3 ubiquitin-protein ligase HECW1,HECW1,23072,HGNC:22195,365,500,0.22234250352057175,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,8810-26,HEPACAM,Hepatocyte cell adhesion molecule,HEPACAM,220296,HGNC:26361,68,500,-0.013538477444462153,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,3617-80,HGFA,Hepatocyte growth factor activator,HGFAC,3083,HGNC:4894,93,500,-0.05378809645158151,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Intestine,14132-21,HHLA2,HERV-H LTR-associating protein 2,HHLA2,11148,HGNC:4905,308,500,-0.2653260258526678,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,19518-12,HXK3,Hexokinase-3,HK3,3101,HGNC:4925,258,500,0.21686096847129713,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,17398-55,HO-1,Heme oxygenase 1,HMOX1,3162,HGNC:5013,71,500,-0.086959886659998,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,3054-3,"Haptoglobin, Mixed Type",Haptoglobin,HP,3240,HGNC:5141,32,500,0.09926618787760404,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,7905-30,HPT,Haptoglobin isoform 2,HP,3240,HGNC:5141,56,500,-0.08326443864273955,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,4996-66,HRG,Histidine-rich glycoprotein,HRG,3273,HGNC:5181,45,500,-0.01924909003617417,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,19370-30,HS3S4,Heparan sulfate glucosamine 3-O-sulfotransferase 4,HS3ST4,9951,HGNC:5200,213,500,0.18304161316021317,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,8998-15,HS3S4,Heparan sulfate glucosamine 3-O-sulfotransferase 4,HS3ST4,9951,HGNC:5200,225,500,-0.16784887990157724,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,10731-10,HS3S5,Heparan sulfate glucosamine 3-O-sulfotransferase 5,HS3ST5,222537,HGNC:19419,442,500,-0.404330796822543,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,13561-5,5HT6R,5-hydroxytryptamine receptor 6,HTR6,3362,HGNC:5301,406,500,-0.3226855281019341,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Pancreas,19639-53,IAPP,Islet amyloid polypeptide,IAPP,3375,HGNC:5329,500,500,1.8171501763991496,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
